-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
triton_red_fused__to_copy_add_fused_add_rms_norm_gpt...         0.00%       0.000us         0.00%       0.000us       0.000us       1.363ms         0.18%       1.363ms       4.734us           288  
                               recompute_w_u_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.238ms         0.16%       1.238ms      25.794us            48  
triton_poi_fused_gptq_gemm_rdna3_fp32_mul_silu_slice...         0.00%       0.000us         0.00%       0.000us       0.000us     950.914us         0.13%     950.914us       3.302us           288  
                        chunk_scaled_dot_kkt_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     881.921us         0.12%     881.921us      18.373us            48  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     810.464us         0.11%     810.464us       2.675us           303  
                                              aten::sub         0.14%       1.722ms         0.20%       2.544ms       8.181us     801.935us         0.11%     801.935us       2.579us           311  
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT32x32...         0.00%       0.000us         0.00%       0.000us       0.000us     798.161us         0.11%     798.161us      16.628us            48  
                                            aten::fill_         0.11%       1.350ms         0.20%       2.472ms       3.826us     781.518us         0.10%     941.988us       1.458us           646  
                                           aten::argmax         0.06%     748.142us         0.10%       1.251ms      23.601us     755.220us         0.10%     755.220us      14.249us            53  
                                     triton_red_fused_7         0.00%       0.000us         0.00%       0.000us       0.000us     692.236us         0.09%     692.236us       2.404us           288  
                         reshape_and_cache_kernel_flash         0.00%       0.000us         0.00%       0.000us       0.000us     680.059us         0.09%     680.059us       2.222us           306  
                                 aten::_index_put_impl_         0.10%       1.217ms         0.32%       4.079ms      27.379us     646.865us         0.09%       1.276ms       8.567us           149  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     646.865us         0.09%     646.865us       6.405us           101  
                                     triton_poi_fused_4         0.00%       0.000us         0.00%       0.000us       0.000us     605.974us         0.08%     605.974us       2.244us           270  
                    merge_16x16_to_64x64_inverse_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     585.394us         0.08%     585.394us      12.196us            48  
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT96x12...         0.00%       0.000us         0.00%       0.000us       0.000us     581.119us         0.08%     581.119us     145.280us             4  
                                              aten::add         0.06%     729.240us         0.09%       1.089ms       8.578us     577.700us         0.08%     577.700us       4.549us           127  
                                     aten::masked_fill_         0.04%     541.020us         0.08%       1.017ms      12.105us     555.001us         0.07%     555.001us       6.607us            84  
